ANO;MÊS;PRODUTO;OPERAÇÃO COMERCIAL;IMPORTADO / EXPORTADO;DISPÊNDIO / RECEITA
2000;MAI;COQUE;IMPORTAÇÃO;184776,5558;8518670
2000;MAR;COQUE;IMPORTAÇÃO;163613,6894;5152688
2000;NOV;COQUE;IMPORTAÇÃO;171955,95;8286199
2000;OUT;COQUE;IMPORTAÇÃO;249985,724;10402909
2000;SET;COQUE;IMPORTAÇÃO;144843,4202;9200665
2000;ABR;GASOLINA A;EXPORTAÇÃO;429,5111111;99029
2000;AGO;GASOLINA A;EXPORTAÇÃO;335400,0736;71753834
2000;DEZ;GASOLINA A;EXPORTAÇÃO;376040,7722;77930515
2000;FEV;GASOLINA A;EXPORTAÇÃO;1343,597222;272899
2000;JAN;GASOLINA A;EXPORTAÇÃO;114146,1472;17694662
2000;JUL;GASOLINA A;EXPORTAÇÃO;161529,1194;35360967
2000;JUN;GASOLINA A;EXPORTAÇÃO;91077,25556;15629763
2000;MAI;GASOLINA A;EXPORTAÇÃO;163542,7681;27489316
2000;MAR;GASOLINA A;EXPORTAÇÃO;226854,4764;42384151
2000;NOV;GASOLINA A;EXPORTAÇÃO;94206,925;20076542
2000;OUT;GASOLINA A;EXPORTAÇÃO;207407,2083;40384444
2000;SET;GASOLINA A;EXPORTAÇÃO;249975,4722;49619966
2000;ABR;GASOLINA A;IMPORTAÇÃO;41422,46667;9291315
2000;AGO;GASOLINA A;IMPORTAÇÃO;9,220833333;11071
2000;DEZ;GASOLINA A;IMPORTAÇÃO;0,001388889;621
2000;FEV;GASOLINA A;IMPORTAÇÃO;0;0
2000;JAN;GASOLINA A;IMPORTAÇÃO;4,222222222;7418
2000;JUL;GASOLINA A;IMPORTAÇÃO;6827,873611;1174856
2000;JUN;GASOLINA A;IMPORTAÇÃO;0;0
2000;MAI;GASOLINA A;IMPORTAÇÃO;12468,85;2127249
2000;MAR;GASOLINA A;IMPORTAÇÃO;0;1293
2000;NOV;GASOLINA A;IMPORTAÇÃO;0,001388889;0
2000;OUT;GASOLINA A;IMPORTAÇÃO;4,681944444;5206
2000;SET;GASOLINA A;IMPORTAÇÃO;0;0
2000;ABR;GASOLINA DE AVIAÇÃO;EXPORTAÇÃO;69,76944444;28731
2000;AGO;GASOLINA DE AVIAÇÃO;EXPORTAÇÃO;309,8319444;150616
2000;DEZ;GASOLINA DE AVIAÇÃO;EXPORTAÇÃO;501,2263889;249817
2000;FEV;GASOLINA DE AVIAÇÃO;EXPORTAÇÃO;385,8180556;153032
2000;JAN;GASOLINA DE AVIAÇÃO;EXPORTAÇÃO;2528,763889;881715
2000;JUL;GASOLINA DE AVIAÇÃO;EXPORTAÇÃO;1231,638889;398056
2000;JUN;GASOLINA DE AVIAÇÃO;EXPORTAÇÃO;4961,986111;1329492
2000;MAI;GASOLINA DE AVIAÇÃO;EXPORTAÇÃO;0;0
2000;MAR;GASOLINA DE AVIAÇÃO;EXPORTAÇÃO;1481,234722;510540
2000;NOV;GASOLINA DE AVIAÇÃO;EXPORTAÇÃO;811,5208333;405002
2000;OUT;GASOLINA DE AVIAÇÃO;EXPORTAÇÃO;3779,6875;1490425
2000;SET;GASOLINA DE AVIAÇÃO;EXPORTAÇÃO;5356,531944;1699734
2000;ABR;GASOLINA DE AVIAÇÃO;IMPORTAÇÃO;0;0
2000;AGO;GASOLINA DE AVIAÇÃO;IMPORTAÇÃO;0;0
2000;DEZ;GASOLINA DE AVIAÇÃO;IMPORTAÇÃO;0;0
2000;FEV;GASOLINA DE AVIAÇÃO;IMPORTAÇÃO;0;0
2000;JAN;GASOLINA DE AVIAÇÃO;IMPORTAÇÃO;0;0
2000;JUL;GASOLINA DE AVIAÇÃO;IMPORTAÇÃO;0;0
2000;JUN;GASOLINA DE AVIAÇÃO;IMPORTAÇÃO;0;0
2000;MAI;GASOLINA DE AVIAÇÃO;IMPORTAÇÃO;0;0
2000;MAR;GASOLINA DE AVIAÇÃO;IMPORTAÇÃO;0;0
2000;NOV;GASOLINA DE AVIAÇÃO;IMPORTAÇÃO;0;0
2000;OUT;GASOLINA DE AVIAÇÃO;IMPORTAÇÃO;0;0
2000;SET;GASOLINA DE AVIAÇÃO;IMPORTAÇÃO;0;0
2000;ABR;GLP;EXPORTAÇÃO;0;0
2000;AGO;GLP;EXPORTAÇÃO;4041,205455;839173
2000;DEZ;GLP;EXPORTAÇÃO;0;0
2000;FEV;GLP;EXPORTAÇÃO;0;0
2000;JAN;GLP;EXPORTAÇÃO;0;0
2000;JUL;GLP;EXPORTAÇÃO;1840,436364;403762
2000;JUN;GLP;EXPORTAÇÃO;0;0
2000;MAI;GLP;EXPORTAÇÃO;0;0
2000;MAR;GLP;EXPORTAÇÃO;0;0
2000;NOV;GLP;EXPORTAÇÃO;0,090909091;500
2000;OUT;GLP;EXPORTAÇÃO;0,001818182;5
2000;SET;GLP;EXPORTAÇÃO;3983,481818;888758
2000;ABR;GLP;IMPORTAÇÃO;212042,7418;33380757
2000;AGO;GLP;IMPORTAÇÃO;649898,1055;98975790
2000;DEZ;GLP;IMPORTAÇÃO;311730,1873;56549496
2000;FEV;GLP;IMPORTAÇÃO;339556,1055;51210392
2000;JAN;GLP;IMPORTAÇÃO;445289,6327;55735007
2000;JUL;GLP;IMPORTAÇÃO;571700,6491;82398504
2000;JUN;GLP;IMPORTAÇÃO;445352,7145;66000276
2000;MAI;GLP;IMPORTAÇÃO;431567,2491;65679133
2000;MAR;GLP;IMPORTAÇÃO;310576,3709;54124002
2000;NOV;GLP;IMPORTAÇÃO;459783,9164;81091813
2000;OUT;GLP;IMPORTAÇÃO;539782,9382;91370007
2000;SET;GLP;IMPORTAÇÃO;379497,4109;62221632
2000;ABR;LUBRIFICANTE;EXPORTAÇÃO;11541,9125;3816306
2000;AGO;LUBRIFICANTE;EXPORTAÇÃO;19099,15909;6625677
2000;DEZ;LUBRIFICANTE;EXPORTAÇÃO;1804,946591;1178077
2000;FEV;LUBRIFICANTE;EXPORTAÇÃO;8891,856818;2786777
2000;JAN;LUBRIFICANTE;EXPORTAÇÃO;833,4931818;499017
2000;JUL;LUBRIFICANTE;EXPORTAÇÃO;1286,040909;801047
2000;JUN;LUBRIFICANTE;EXPORTAÇÃO;10245,70114;3720082
2000;MAI;LUBRIFICANTE;EXPORTAÇÃO;11526,95227;4125098
2000;MAR;LUBRIFICANTE;EXPORTAÇÃO;8359,289773;2631553
2000;NOV;LUBRIFICANTE;EXPORTAÇÃO;7657,611364;2888603
2000;OUT;LUBRIFICANTE;EXPORTAÇÃO;1779,503409;1177660
2000;SET;LUBRIFICANTE;EXPORTAÇÃO;1892,055682;1133512
2000;ABR;LUBRIFICANTE;IMPORTAÇÃO;3424,120455;1726069
2000;AGO;LUBRIFICANTE;IMPORTAÇÃO;15627,65341;5594446
2000;DEZ;LUBRIFICANTE;IMPORTAÇÃO;3312,613636;2091679
2000;FEV;LUBRIFICANTE;IMPORTAÇÃO;10455,74318;3138331
2000;JAN;LUBRIFICANTE;IMPORTAÇÃO;11813,9625;3670287
2000;JUL;LUBRIFICANTE;IMPORTAÇÃO;7735,153409;3556554
2000;JUN;LUBRIFICANTE;IMPORTAÇÃO;10832,22614;4202980
2000;MAI;LUBRIFICANTE;IMPORTAÇÃO;8747,328409;3509442
2000;MAR;LUBRIFICANTE;IMPORTAÇÃO;5926,176136;2531937
2000;NOV;LUBRIFICANTE;IMPORTAÇÃO;33680,9625;11767768
2000;OUT;LUBRIFICANTE;IMPORTAÇÃO;27764,3125;9639475
2000;SET;LUBRIFICANTE;IMPORTAÇÃO;12586,18409;5346149
2000;ABR;NAFTA;EXPORTAÇÃO;0;0
2000;AGO;NAFTA;EXPORTAÇÃO;0;0
2000;DEZ;NAFTA;EXPORTAÇÃO;0;0
2000;FEV;NAFTA;EXPORTAÇÃO;0;0
2000;JAN;NAFTA;EXPORTAÇÃO;0;0
2000;JUL;NAFTA;EXPORTAÇÃO;0;0
2000;JUN;NAFTA;EXPORTAÇÃO;0;0
2000;MAI;NAFTA;EXPORTAÇÃO;0,001388889;46
2000;MAR;NAFTA;EXPORTAÇÃO;0;0
2000;NOV;NAFTA;EXPORTAÇÃO;0;0
2000;OUT;NAFTA;EXPORTAÇÃO;0;0
2000;SET;NAFTA;EXPORTAÇÃO;0;0
2000;ABR;NAFTA;IMPORTAÇÃO;255665,6653;54749416
2000;AGO;NAFTA;IMPORTAÇÃO;301221,3764;56833588
2000;DEZ;NAFTA;IMPORTAÇÃO;479234,7028;97194583
2000;FEV;NAFTA;IMPORTAÇÃO;369483,7056;63861511
2000;JAN;NAFTA;IMPORTAÇÃO;271168,9931;44295327
2000;JUL;NAFTA;IMPORTAÇÃO;142680,7806;27577971
2000;JUN;NAFTA;IMPORTAÇÃO;474233,2472;88530161
2000;MAI;NAFTA;IMPORTAÇÃO;383788,8292;67238240
2000;MAR;NAFTA;IMPORTAÇÃO;345032,1083;66095536
2000;NOV;NAFTA;IMPORTAÇÃO;292063,2694;64909618
2000;OUT;NAFTA;IMPORTAÇÃO;321819,4167;68014997
2000;SET;NAFTA;IMPORTAÇÃO;143110,6667;27918504
2000;ABR;OUTROS NÃO ENERGÉTICOS;EXPORTAÇÃO;109,847;172039
2000;AGO;OUTROS NÃO ENERGÉTICOS;EXPORTAÇÃO;107,462;155265
2000;DEZ;OUTROS NÃO ENERGÉTICOS;EXPORTAÇÃO;82,376;163392
2000;FEV;OUTROS NÃO ENERGÉTICOS;EXPORTAÇÃO;91,56;164129
2000;JAN;OUTROS NÃO ENERGÉTICOS;EXPORTAÇÃO;96,095;103199
2000;JUL;OUTROS NÃO ENERGÉTICOS;EXPORTAÇÃO;76,963;97664
2000;JUN;OUTROS NÃO ENERGÉTICOS;EXPORTAÇÃO;88,189;75697
2000;MAI;OUTROS NÃO ENERGÉTICOS;EXPORTAÇÃO;150,269;238027
2000;MAR;OUTROS NÃO ENERGÉTICOS;EXPORTAÇÃO;122,749;179966
2000;NOV;OUTROS NÃO ENERGÉTICOS;EXPORTAÇÃO;33,437;65132
2000;OUT;OUTROS NÃO ENERGÉTICOS;EXPORTAÇÃO;148,914;165858
